,name,length,phases,kV,h,normamps,max_per_unit_loading,status
66,1477_0_2557_0,0.118550786893708,3,2.77128,0.0,105.0,0.1318,normal
67,1477_0_2071_0,0.0953907212863218,3,2.77128,0.0,75.0,0.0224,normal
68,1477_0_4006_0,0.168556550760185,3,2.77128,0.0,75.0,0.1932,normal
69,1477_0_1937_0,0.144994347697441,3,2.77128,0.0,185.0,0.0362,normal
70,1477_0_1938_0,0.0116767980161422,3,2.77128,0.0,185.0,0.0121,normal
71,1477_0_1949_0,0.0293653639213943,3,2.77128,0.0,75.0,0.0785,normal
72,1477_0_3661_0,0.100717341557856,3,2.77128,0.0,75.0,0.2843,normal
73,1477_0_2092_0,0.0457130064602088,3,2.77128,0.0,75.0,0.3418,normal
74,1477_0_2093_0,0.0342138254515457,3,2.77128,0.0,75.0,0.3242,normal
75,1477_0_2343_0,0.0566166288490411,3,2.77128,0.0,75.0,0.3695,normal
76,1477_0_2342_0,0.0377913395325341,3,2.77128,0.0,75.0,0.6989,normal
77,1477_0_2367_0,0.0243015655083803,3,2.77128,0.0,105.0,0.0013,normal
78,1477_0_3599_0,0.00569481376450832,3,2.77128,0.0,185.0,0.0008,normal
79,1477_0_3718_0,0.0244121381663186,3,2.77128,0.0,405.0,0.0231,normal
80,1477_0_3566_0,0.108446205758334,3,2.77128,0.0,260.0,0.4775,normal
81,1477_0_3700_0,0.0111475750662343,3,2.77128,0.0,105.0,0.0893,normal
82,1477_0_3701_0,0.220018802359808,3,2.77128,0.0,105.0,0.007,normal
83,1477_0_2365_0,0.0478720707501137,3,2.77128,0.0,75.0,0.5401,normal
84,1477_0_3732_0,0.0864765200539317,3,2.77128,0.0,105.0,0.0,unloaded
85,1477_0_3733_0,0.034989067674536,3,2.77128,0.0,260.0,0.0843,normal
86,1477_0_2396_0,0.0653845111074479,3,2.77128,0.0,75.0,0.9416,normal
87,1477_0_2389_0,0.0460001607123494,3,2.77128,0.0,75.0,0.9416,normal
88,1477_0_2458_0,0.0648625253101356,3,2.77128,0.0,75.0,0.0564,normal
89,1477_0_2103_0,0.0457098980773595,3,2.77128,0.0,75.0,0.3868,normal
90,1477_0_2075_0,0.0748868906057623,3,2.77128,0.0,75.0,0.0633,normal
91,1477_0_2388_0,0.0981020313473362,3,2.77128,0.0,75.0,0.771,normal
92,1477_0_2393_0,0.14223605822286,3,2.77128,0.0,75.0,0.872,normal
93,1477_0_2387_0,0.0666356273498928,3,2.77128,0.0,75.0,0.1826,normal
94,1477_0_3574_0,0.0917040953392903,3,2.77128,0.0,185.0,0.0099,normal
95,1477_0_3647_0,0.100680976486448,3,2.77128,0.0,75.0,0.2409,normal
96,1477_0_3740_0,0.0736378850601638,3,2.77128,0.0,105.0,0.021,normal
97,1477_0_2158_0,0.0545757139498366,3,2.77128,0.0,75.0,0.8387,normal
98,1477_0_3719_0,0.0346779983001654,3,2.77128,0.0,405.0,0.3544,normal
99,1477_0_2670_0,0.138342512130336,3,2.77128,0.0,105.0,0.0605,normal
100,1477_0_2033_0,0.121279475330757,3,2.77128,0.0,105.0,0.0365,normal
101,1477_0_1914_0,0.0916715238499937,3,2.77128,0.0,75.0,0.0262,normal
102,1477_0_3589_0,0.044269194358738,3,2.77128,0.0,105.0,0.1363,normal
